Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Success_ByTDLogin,Chrome 104.0.5112.81,Tes Login pakai data login excel,,2022-08-19 09:30:31,2022-08-19 09:33:35,3m - 4.177s,PASSED
,,,,,,,
Test Cases/TC_Login_Success,Chrome 104.0.5112.81,Login Sukses,,2022-08-19 09:30:31,2022-08-19 09:31:14,42.790s,PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-19 09:30:32,2022-08-19 09:30:36,4.037s,PASSED
"navigateToUrl(""http://demokoperasi.invelli.com/general/adminlogin/"")",Chrome 104.0.5112.81,,,2022-08-19 09:30:36,2022-08-19 09:30:37,0.955s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Sign In_username""), username)",Chrome 104.0.5112.81,,,2022-08-19 09:30:37,2022-08-19 09:30:38,0.961s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Sign In_password""), password)",Chrome 104.0.5112.81,,,2022-08-19 09:30:38,2022-08-19 09:30:38,0.741s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Login""))",Chrome 104.0.5112.81,,,2022-08-19 09:30:38,2022-08-19 09:30:41,2.239s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-19 09:30:41,2022-08-19 09:30:41,0.162s,PASSED
"mouseOver(findTestObject(""Object Repository/Page_- Invelli Microfinance System/span_Root""))",Chrome 104.0.5112.81,,,2022-08-19 09:30:41,2022-08-19 09:31:13,31.858s,PASSED
"click(findTestObject(""Object Repository/Page_- Invelli Microfinance System/a_Log Out""))",Chrome 104.0.5112.81,,,2022-08-19 09:31:13,2022-08-19 09:31:13,0.592s,PASSED
closeBrowser(),Chrome 104.0.5112.81,,,2022-08-19 09:31:13,2022-08-19 09:31:14,0.820s,PASSED
,,,,,,,
Test Cases/TC_Login_Success,Chrome 104.0.5112.81,Login Sukses,,2022-08-19 09:31:14,2022-08-19 09:32:24,1m - 9.610s,PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-19 09:31:14,2022-08-19 09:31:15,1.373s,PASSED
"navigateToUrl(""http://demokoperasi.invelli.com/general/adminlogin/"")",Chrome 104.0.5112.81,,,2022-08-19 09:31:15,2022-08-19 09:31:16,0.562s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Sign In_username""), username)",Chrome 104.0.5112.81,,,2022-08-19 09:31:16,2022-08-19 09:31:17,0.868s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Sign In_password""), password)",Chrome 104.0.5112.81,,,2022-08-19 09:31:17,2022-08-19 09:31:18,0.764s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Login""))",Chrome 104.0.5112.81,,,2022-08-19 09:31:18,2022-08-19 09:31:19,1.609s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-19 09:31:19,2022-08-19 09:31:19,0.149s,PASSED
"mouseOver(findTestObject(""Object Repository/Page_- Invelli Microfinance System/span_Root""))",Chrome 104.0.5112.81,,,2022-08-19 09:31:19,2022-08-19 09:31:51,31.696s,PASSED
"click(findTestObject(""Object Repository/Page_- Invelli Microfinance System/a_Log Out""))",Chrome 104.0.5112.81,,,2022-08-19 09:31:51,2022-08-19 09:32:23,31.831s,PASSED
closeBrowser(),Chrome 104.0.5112.81,,,2022-08-19 09:32:23,2022-08-19 09:32:24,0.723s,PASSED
,,,,,,,
Test Cases/TC_Login_Success,Chrome 104.0.5112.81,Login Sukses,,2022-08-19 09:32:24,2022-08-19 09:33:35,1m - 11.122s,PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-19 09:32:24,2022-08-19 09:32:26,2.620s,PASSED
"navigateToUrl(""http://demokoperasi.invelli.com/general/adminlogin/"")",Chrome 104.0.5112.81,,,2022-08-19 09:32:26,2022-08-19 09:32:27,0.617s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Sign In_username""), username)",Chrome 104.0.5112.81,,,2022-08-19 09:32:27,2022-08-19 09:32:28,0.902s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Sign In_password""), password)",Chrome 104.0.5112.81,,,2022-08-19 09:32:28,2022-08-19 09:32:29,0.719s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Login""))",Chrome 104.0.5112.81,,,2022-08-19 09:32:29,2022-08-19 09:32:30,1.941s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-19 09:32:30,2022-08-19 09:32:31,0.148s,PASSED
"mouseOver(findTestObject(""Object Repository/Page_- Invelli Microfinance System/span_Root""))",Chrome 104.0.5112.81,,,2022-08-19 09:32:31,2022-08-19 09:33:02,31.681s,PASSED
"click(findTestObject(""Object Repository/Page_- Invelli Microfinance System/a_Log Out""))",Chrome 104.0.5112.81,,,2022-08-19 09:33:02,2022-08-19 09:33:34,31.784s,PASSED
closeBrowser(),Chrome 104.0.5112.81,,,2022-08-19 09:33:34,2022-08-19 09:33:35,0.696s,PASSED
